sha256,product_uid,variant,file_type,furniture_type,subtype,tags_csv,brand,name
8b586b3f7f4a343df39f03a603a3e9265a82374ab8f196252fd004ac232b7028,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_side_chair_armless,sketchup,Chair,,,herman_miller,eames aluminum group chairs
e8de06915c4a1a4e6aebe4bfd856967b8978a347d9006d61aa09689fe1507edb,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_side_chair_with_arms,revit,Chair,,,herman_miller,eames aluminum group chairs
88aee76cb49af05e1b8106632dff68e66544f66cf40f3f0ae44bcdb7a4cbfc1e,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_side_chair_with_arms,autocad_3d,Chair,,,herman_miller,eames aluminum group chairs
c9bf797e8cd5f259c230f15bb8e3ca485b045de54192c0690936c40357b5b618,herman_miller:eames_aluminum_group_chairs,eames_aluminum_group_side_chair_with_arms,sketchup,Chair,,,herman_miller,eames aluminum group chairs
d3becee45b0cd9f4d9c179e6255d9f618bf6bd62602b6dd425ee15af4adc992d,herman_miller:eames_coffee_table,eames_coffee_table_rectangular,autocad_3d,Table,,,herman_miller,eames coffee table
17a6242a82b416e875923ed0eba391dd1ea799111df34a209282f469bb0c58bf,herman_miller:eames_coffee_table,eames_coffee_table_rectangular,sketchup,Table,,,herman_miller,eames coffee table
4cdf1a4941261cc24369799fd272666a202f911e0583fa1b541658c03d369fcc,herman_miller:eames_coffee_table,eames_coffee_table_square,revit,Table,,,herman_miller,eames coffee table
90dc78ba7ccbbd96cc43d1922835fc0b569fd2b44a51119513ddf8d7277962fe,herman_miller:eames_coffee_table,eames_coffee_table_square,autocad_3d,Table,,,herman_miller,eames coffee table
08f8ef2840a5ade06d6adff000894e6151b794c180f97fa3e324bb1f85320260,herman_miller:eames_coffee_table,eames_coffee_table_square,sketchup,Table,,,herman_miller,eames coffee table
d17b14afce673900a087898af0f7298373d8a9bc682b62e8ef00c5d048634210,herman_miller:eames_lounge_chair_and_ottoman,eames_lounge_chair_classic,autocad_3d,Chair,,,herman_miller,eames lounge chair and ottoman
c05e9164e26e55c6007d7cb5bcae18077832ec1a571f975b1fec8988b363518f,herman_miller:eames_lounge_chair_and_ottoman,eames_lounge_chair_classic,sketchup,Chair,,,herman_miller,eames lounge chair and ottoman
7b55f278bcbd0f4e4b7376c3beb32a6f2c0a732afdec5822cb5434522bdf79bf,herman_miller:eames_lounge_chair_and_ottoman,eames_ottoman,revit,Ottoman,,,herman_miller,eames lounge chair and ottoman
a212b96835a206ff29722ab7fa14aa4a92b416f5f65e9b78022581ca930f6c4d,herman_miller:eames_lounge_chair_and_ottoman,eames_lounge_chair_tall,autocad_3d,Chair,,,herman_miller,eames lounge chair and ottoman
17cdc7522e775260a1a2fd65da25f615ae9b18ffc8226fb2f30973120dfd39dd,herman_miller:eames_lounge_chair_and_ottoman,eames_lounge_chair_tall,sketchup,Chair,,,herman_miller,eames lounge chair and ottoman
ada4d9e4114d8dd4b9f87f7a63d4913d6560e569b9bc65458179faa551f5266b,herman_miller:eames_lounge_chair_and_ottoman,eames_lounge_chair_tall,revit,Chair,,,herman_miller,eames lounge chair and ottoman
eda1a658efcc3d3962431a912d25e4f520857a8a23346cf284872bdfa313eece,herman_miller:eames_lounge_chair_and_ottoman,eames_ottoman,autocad_3d,Ottoman,,,herman_miller,eames lounge chair and ottoman
493e1ab83191f01fb2ab7a7713dbde59e9d7acb3f2ea935deaddd96f1f82e1c9,herman_miller:eames_lounge_chair_and_ottoman,eames_ottoman,sketchup,Ottoman,,,herman_miller,eames lounge chair and ottoman
cf41b363e446d20ce739112d9d2f9f664cfe08ae9d1da60fbc977d8b001ab5f9,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_fully_upholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
8f180c76ad828e63bc5ddb135d297421472f505a4f61cbac6f6148b159b25c4a,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_fully_upholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
0304bcfcad62b6fb73beabced7b0d315ef77636c1c202ee49abba05a86ce4d81,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_fully_upholstered,revit,Chair,,,herman_miller,eames molded fiberglass chairs
1865e1a07b406cfa3fe8b6ef8dec0b10df8717a7e41ec6c57f19801798a1948b,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_nonupholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
1835056b66f0a8be5067563d9b87198171f1d6ccdf1c4bde121e2a84c39b1f2a,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_nonupholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
c618bed150834ede524f05f996d7674548c36d4619cbb4440a905968963e5349,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_nonupholstered,revit,Chair,,,herman_miller,eames molded fiberglass chairs
8f110f1e5eaa593b07fa3c0a9148d0db9d71287f2a7aeea12c5d6669f59d69b6,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_upholstered_seat_pad,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
073889b4d17920e65e688929ada8c0ada210190323d5e18099ac2e9ceceea8fa,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_4_leg_base_upholstered_seat_pad,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
57cb6cf5fcaaa149d82cfd9abd3dd5fb4567fe771dea614b8422e556c9bf96e6,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_fully_upholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
ab175a4b46ff2ecf16df36b290ba93244ce7d670e5f79ae532d68d050451b672,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_fully_upholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
0e6b5be040b95c35b01f8c5478dfba5698610351def450c8c53b9350ce53abc2,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_nonupholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
a7e4479c8b484e17945046917ecb163f00e255d3d8a8de05780f849b7b783bd6,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_nonupholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
c5ab361492cb3efa4e8982d4b1d64ba2c68316baea7e6ad3db623c6ae4621a38,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_upholstered_seat_pad,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
f6c2181812a478ad29316d08e1ec706b969c7329eeb2faa984d7aae29612cc88,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_dowel_base_upholstered_seat_pad,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
77cb5a34177fc69d66b799f9c9b6ed7596873330f867d1a3504bd43b81883bb1,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_fully_upholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
1e12dea0203736f4179bb3a9238b19371f8ee0b06abf8bdd56452da48cf74aa6,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_fully_upholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
76b150c3f793dd6c798c212a28c3560e7e2990db7ac9c5581474ae741a8f37e5,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_nonupholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
406cc039fbe66131a00d695812bcbe720bb613e4d21cb17b895d2a3174a967c9,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_nonupholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
4ab130ff80ce5a20049408a42d5ceca1f0ea9365d2c50df97015e5134b3c9bf8,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_upholstered_seat_pad,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
402383af991f305b147b711b518c9d3285b31a987f13a9f40af8c258b5302027,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_armchair_wire_base_upholstered_seat_pad,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
fac2d6d1eafcd806ed447090d10739fc40d09b1c1df5e9d3e07d0e2b6a658a42,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_side_chair_4_leg_base_fully_upholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
cb21acd8d42554de0bb98e0cbb945583cffbf08f107033c66c630356ca3007ff,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_side_chair_4_leg_base_fully_upholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
0684ee5d911289a93b2a0f073ee662a09f1263e3b107359c9fc656be5272dffd,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_side_chair_wire_base_fully_upholstered,revit,Chair,,,herman_miller,eames molded fiberglass chairs
d65225958bbc307dc7132f83c047ba59b74ccc522b39539acb3177847663dd52,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_side_chair_4_leg_base_nonupholstered,autocad_3d,Chair,,,herman_miller,eames molded fiberglass chairs
c08c44071e8e734824b7a732ecaf5781b1be8d2fa0c207bb3ea6131ba7412770,herman_miller:eames_molded_fiberglass_chairs,eames_molded_fiberglass_side_chair_4_leg_base_nonupholstered,sketchup,Chair,,,herman_miller,eames molded fiberglass chairs
